"activity","type","Control summary-Main-begin editing","Control summary-Main-finish editing","Control summary-Main-initialize","Control summary-Main-save","Control summary-Main-take original document","Department control parcels-Main-begin editing","Department control parcels-Main-insert document","Department control parcels-Main-performed","Department control parcels-Main-save","Entitlement application-Change-begin editing","Entitlement application-Change-calculate","Entitlement application-Change-decide","Entitlement application-Change-finish editing","Entitlement application-Change-initialize","Entitlement application-Change-insert document","Entitlement application-Change-remove document","Entitlement application-Change-revoke decision","Entitlement application-Change-revoke withdrawal","Entitlement application-Change-withdraw","Entitlement application-Main-begin editing","Entitlement application-Main-calculate","Entitlement application-Main-decide","Entitlement application-Main-finish editing","Entitlement application-Main-initialize","Entitlement application-Main-insert document","Entitlement application-Main-mail valid","Entitlement application-Main-revoke decision","Entitlement application-Main-save","Entitlement application-Objection-approve","Entitlement application-Objection-begin admissibility check","Entitlement application-Objection-begin editing","Entitlement application-Objection-calculate","Entitlement application-Objection-check admissibility","Entitlement application-Objection-decide","Entitlement application-Objection-finish editing","Entitlement application-Objection-initialize","Entitlement application-Objection-insert document","Geo parcel document-Declared-begin editing","Geo parcel document-Declared-calculate","Geo parcel document-Declared-create","Geo parcel document-Declared-finish editing","Geo parcel document-Declared-finish pre-check","Geo parcel document-Declared-restart editing","Geo parcel document-Main-calculate protocol","Geo parcel document-Main-clear","Geo parcel document-Main-initialize","Geo parcel document-Main-insert document","Geo parcel document-Main-save","Geo parcel document-Reported-begin editing","Geo parcel document-Reported-calculate","Geo parcel document-Reported-finish editing","Geo parcel document-Reported-insert document","Inspection-On-Site-begin editing","Inspection-On-Site-begin preparations","Inspection-On-Site-cancel offline","Inspection-On-Site-finish editing","Inspection-On-Site-finish preparations","Inspection-On-Site-initialize","Inspection-On-Site-performed","Inspection-On-Site-performed offline","Inspection-On-Site-plan","Inspection-On-Site-prepare offline","Inspection-On-Site-save","Inspection-Remote-abort external","Inspection-Remote-begin editing","Inspection-Remote-begin preparations","Inspection-Remote-finish editing","Inspection-Remote-finish preparations","Inspection-Remote-initialize","Inspection-Remote-performed","Inspection-Remote-plan","Inspection-Remote-prepare external","Inspection-Remote-save","Parcel document-Main-begin editing","Parcel document-Main-check","Parcel document-Main-discard","Parcel document-Main-finish editing","Parcel document-Main-initialize","Parcel document-Main-insert document","Parcel document-Main-save","Payment application-Application-abort payment","Payment application-Application-begin editing","Payment application-Application-begin payment","Payment application-Application-calculate","Payment application-Application-decide","Payment application-Application-finish editing","Payment application-Application-finish payment","Payment application-Application-initialize","Payment application-Application-insert document","Payment application-Application-mail income","Payment application-Application-mail valid","Payment application-Application-remove document","Payment application-Application-revoke decision","Payment application-Change-abort payment","Payment application-Change-begin editing","Payment application-Change-begin payment","Payment application-Change-calculate","Payment application-Change-decide","Payment application-Change-finish editing","Payment application-Change-finish payment","Payment application-Change-initialize","Payment application-Change-insert document","Payment application-Main-insert document","Payment application-Main-remove document","Payment application-Main-save","Payment application-Objection-abort payment","Payment application-Objection-approve","Payment application-Objection-begin admissibility check","Payment application-Objection-begin editing","Payment application-Objection-begin editing from refused","Payment application-Objection-begin payment","Payment application-Objection-calculate","Payment application-Objection-check admissibility","Payment application-Objection-decide","Payment application-Objection-finish editing","Payment application-Objection-finish payment","Payment application-Objection-initialize","Payment application-Objection-insert document","Payment application-Objection-refuse","Reference alignment-Main-initialize","Reference alignment-Main-insert document","Reference alignment-Main-performed","Reference alignment-Main-remove document","Reference alignment-Main-save"
"Control summary-Main-begin editing","EFR_N","0","408","408","243","7","98","2","269","71","27","43","20","17","26","54","10","1","1","2","537","658","144","539","138","6","276","1","46","3","3","3","6","3","4","3","3","5","314","270","217","468","140","11","2","56","17","49","452","762","916","864","8","18","41","3","58","41","40","15","25","40","28","1059","83","15","109","41","109","26","26","26","109","178","12","119","1","338","9","82","275","304","1074","711","2383","609","1277","407","408","419","6","408","2","198","6","46","23","67","20","17","17","46","18","66","22","38","3","3","8","6","1","7","15","8","7","7","4","4","4","1","408","46","408","1","328"
"Control summary-Main-begin editing","EFR_S","",">","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<",">",">",">",">",">",">",">",">",">",">",">","||",">","||","||","||",">",">",">","||",">","||",">",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||",">",">","||","||",">",">",">",">",">",">",">",">",">",">",">","||","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">"
"Control summary-Main-finish editing","EFR_N","408","0","408","243","7","98","2","269","71","27","43","20","17","26","54","10","1","1","2","537","658","144","539","138","6","276","1","46","3","3","3","6","3","4","3","3","5","314","270","217","468","140","11","2","56","17","49","452","762","916","864","8","18","41","3","58","41","40","15","25","40","28","1059","83","15","109","41","109","26","26","26","109","178","12","119","1","338","9","82","275","304","1074","711","2383","609","1277","407","408","419","6","408","2","198","6","46","23","67","20","17","17","46","18","66","22","38","3","3","8","6","1","7","15","8","7","7","4","4","4","1","408","46","408","1","328"
"Control summary-Main-finish editing","EFR_S","<","","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<",">",">",">",">",">",">",">",">",">",">",">","||",">","||","||","||",">",">",">","||",">","||",">",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||",">",">","||","||",">",">",">",">",">",">",">",">",">",">",">","||","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">"
"Control summary-Main-initialize","EFR_N","408","408","0","243","7","98","2","269","71","27","43","20","17","26","54","10","1","1","2","537","658","144","539","138","6","276","1","46","3","3","3","6","3","4","3","3","5","314","270","217","468","140","11","2","56","17","49","452","762","916","864","8","18","41","3","58","41","40","15","25","40","28","1059","83","15","109","41","109","26","26","26","109","178","12","119","1","338","9","82","275","304","1074","711","2383","609","1277","407","408","419","6","408","2","198","6","46","23","67","20","17","17","46","18","66","22","38","3","3","8","6","1","7","15","8","7","7","4","4","4","1","408","46","408","1","328"
"Control summary-Main-initialize","EFR_S",">",">","",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","<",">",">",">",">",">",">",">",">",">",">",">","||",">","||","||","||",">",">",">","||",">","||",">",">","||",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">","||",">",">","||","||",">",">",">",">",">",">",">",">",">",">",">","||","<",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">",">"
"Control summary-Main-save","EFR_N","243","243","243","378","0","140","2","62","134","79","129","40","39","79","163","40","0","2","3","479","599","142","501","85","1","402","3","100","14","14","14","40","14","26","16","9","29","13","26","74","22","4","3","2","0","43","7","36","3","0","0","0","4","16","0","22","16","4","5","13","4","11","284","59","7","84","9","84","25","2","25","84","8","200","112","9","362","200","20","370","255","180","440","785","291","343","191","115","52","243","243","6","114","12","93","43","127","32","31","31","93","31","136","60","103","11","18","50","18","0","30","36","52","18","18","19","9","18","0","14","77","14","0","426"
"Control summary-Main-save","EFR_S","<","<","<","@","","||","||","||","||","||","||",">",">","||","||",">","",">",">","||","||","||","||","||",">","<","||","||","||","||","||","||","||","||","||","||","||","||","||","<","||","||","||",">","","<","||","||",">","","","","||","||","","||","||","||","||","||","||","||","||","<","||","<","||","<","<","||","<","<","||","<","||","<","||","<","||","||","||","||","||","||","||","||","||","||",">","<","<",">","||",">",">",">",">",">",">",">",">",">","||",">","||",">","||","||","||","",">","||","||","||","||",">","||","||","","||","||","||","","||"
"Control summary-Main-take original document","EFR_N","7","7","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","4","1","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","10","4","11","7","9","0","0","5","6","0","2","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","3","1","1","4","2","8","9","13","6","10","7","1","12","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","7"
"Control summary-Main-take original document","EFR_S","<","<","<","","","","",">","","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","<","<","<","<","<","","","<","<","","<","||","||","||","","","","","","","","","","","","","","","","","","","","","","","<",">","",">","<",">",">",">","||",">","||","||","||",">","||",">","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","","||","",">"
